Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2022-0351;Queja;Inadmitida;2022-04-12;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;LEÓN;Queja contra Telenauto, S.A. (entidad privada). Se le comunica su inadmisión, de forma motivada, mediante correo electrónico al ciudadano de fecha 13 de abril de 2022
2022-0350;Queja;Contestado;2022-04-12;WEB;EPDP-AGENCIA PARA LA CALIDAD DEL SISTEMA UNIVERSITARIO DE CASTILLA Y LEÓN;SERVICIOS CENTRALES;Descontenta con el funcionamiento del sistema
2022-0352;Queja;Inadmitida;2022-04-12;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;LEÓN;Queja formulada contra Telenauto, S.A. (entidad privada). Se comunica su inadmisión, de forma motivada, al interesado mediante correo ellectrónico de fecha 13 de abril de 2022
2022-0349;Queja;Contestado;2022-04-11;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;FALTA DE AUTORIZACIÓN DEL ST DE FOMENTO DE SEGOVIA NECESARIA PARA MATRICULAR UN CAMIÓN.
2022-0347;Queja;Contestado;2022-04-09;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;ambuiberica
2022-0348;Sugerencia;Contestado;2022-04-09;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;comunicación de muertes a la Base de Datos del Registro
2022-0343;Queja;Contestado;2022-04-08;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY PERSONAL EN LA UV BERMILLO DE SAYAGO
2022-0344;Queja;Contestado;2022-04-08;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0345;Queja;Contestado;2022-04-08;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY PERSONAL EN EL REGISTRO
2022-0346;Sugerencia;Contestado;2022-04-08;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;S
2022-0342;Queja;Contestado;2022-04-07;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;CONSIDERA QUE LE HAN PRESTADO UN TRATO INADECUADO
2022-0341;Queja;Contestado;2022-04-07;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Imposibilidad de contactar telefónicamente con Juventud para solicitar cita previa
2022-0338;Queja;Contestado;2022-04-06;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Retraso en el ingreso del Bono Social Térmico
2022-0339;Queja;Contestado;2022-04-06;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Solicita estado de su solicitud de socio del Club de los 60.
2022-0340;Queja;Contestado;2022-04-06;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;U.V. DE BERMILLO DE SAYAGO
2022-0337;Sugerencia;Contestado;2022-04-05;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;estabilización
2022-0336;Sugerencia;Anulada;2022-04-05;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;
2022-0335;Queja;Contestado;2022-04-05;WEB;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;No ha recibido su tarjeta para disfrutar Bono Turístico
2022-0331;Queja;Contestado;2022-04-04;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO ME FACILITAN CITA DE FORMA PRESENCIAL
2022-0333;Queja;Contestado;2022-04-04;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SORIA;Queja por la atención recibida en la ermita de San Baudelio
2022-0334;Queja;Inadmitida;2022-04-04;WEB;;VALLADOLID;
2022-0332;Queja;Contestado;2022-04-04;ESCRITO;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q  pago telemático
2022-0329;Queja;Anulada;2022-04-04;ESCRITO;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;Se anula porque es la misma que la
2022-0330;Queja;Contestado;2022-04-04;BUZON;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;Queja por el comportamiento de un grupo de jovenes
2022-0326;Queja;Contestado;2022-04-01;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q.  devolución tasa del conservatorio musica.va.
2022-0327;Queja;Prestacional;2022-04-01;WEB;CONSEJERIA DE SANIDAD;AVILA;
2022-0328;Sugerencia;Remitido Órgano;2022-04-01;Servicio 012;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Listados programa Conciliamos
2022-0321;Queja;Contestado;2022-03-31;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Recogida y/o envío precintos caza
2022-0322;Queja;Contestado;2022-03-31;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;TRATO INADECUADO EN LA OFICINA DE REGISTRO
2022-0324;Queja;Remitido Órgano;2022-03-31;WEB;CONSEJERIA DE EDUCACION;LEÓN;Horarios, llamadas, cuota Ampa...
2022-0325;Queja;Tributos;2022-03-31;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SEGOVIA;
2022-0323;Queja;Inadmitida;2022-03-31;OAMR;GERENCIA REGIONAL DE SALUD;SERVICIOS CENTRALES;emergencias 112
2022-0320;Queja;Contestado;2022-03-31;WEB;CONSEJERIA DE EDUCACION;ZAMORA;DESAFECTACIÓN PATIO
2022-0319;Queja;Contestado;2022-03-30;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY PERSONAL EN LA U.V. DE BERMILLO DE SAYAGO
2022-0318;Queja;Contestado;2022-03-30;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY PERSONAL PARA REALIZAR LOS REGISTROS
2022-0317;Sugerencia;Contestado;2022-03-29;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;IMPLEMENTAR EN LA APLICACIÓN MOGA
2022-0316;Queja;Contestado;2022-03-29;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Anormal funcionamiento registro Delegación Territorial León
2022-0314;Queja;Contestado;2022-03-28;WEB;CONSEJERIA DE EDUCACION;ZAMORA;LA PROFESORA DE EDUCACIÓN DE SECUNDARIA EN PRÁCTICAS NO ES APTA EN LA EVALUACIÓN DEL PUESTO DE TRABAJO
2022-0313;Queja;Contestado;2022-03-28;WEB;CONSEJERIA DE EDUCACION;ZAMORA;La profesora de educación secundaria en prácticas no es apta.
2022-0315;Queja;Contestado;2022-03-28;WEB;CONSEJERIA DE EDUCACION;ZAMORA;EL SECRETARIO DEL IES CLAUDIO MOYANO NO SUELE RESOLVER NINGÚN TIPO DE INCIDENCIA NI ASUNTO REFERENTE AL CARGO QUE OBSTENTA DE SECRETARIO
2022-0312;Queja;Contestado;2022-03-27;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por el ruido emitido por las nuevas calderas al instalar las mismas en un edificio anexo a su casa
2022-0311;Queja;Contestado;2022-03-26;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Solicitud de inscripción en el registro de parejas de hecho
2022-0310;Queja;Anulada;2022-03-26;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Esta repetida, se tramita en la queja  ( Gerencia de Servicios Sociales)
2022-0307;Queja;Contestado;2022-03-25;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;AVILA;QUEJA RESPUESTA A LA CONTESTACIÓN DE LA Q-
2022-0305;Queja;Contestado;2022-03-25;Servicio 012;GERENCIA REGIONAL DE SALUD;SERVICIOS CENTRALES;catálogo prestaciones
2022-0306;Queja;Contestado;2022-03-25;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por tener que acudir con los impresos de los tibutos descargados y cumplimentados . Debería atenderse y ayudar a las personas mayores en las oficinas
2022-0304;Queja;Contestado;2022-03-25;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY ADMINISTRATIVO
2022-0308;Queja;Contestado;2022-03-25;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;DISCRIMINACIÓN PARA LAS CORALES
2022-0309;Sugerencia;Remitido Órgano;2022-03-25;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Tarjeta acreditativa de discapacidad
2022-0303;Queja;Contestado;2022-03-24;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;Ciudadano desconforme con actuación por nuestra parte
2022-0302;Queja;Contestado;2022-03-24;OAMR;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;PLAZO PARA LA REALIZACIÓN DE QUEMAS
2022-0297;Queja;Contestado;2022-03-23;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;SU TELEFÓNO PERSONAL APARECE EN GOOGLE COMO EL TELEFÓNO DE UDA DE FUENTESAÚCO
2022-0300;Queja;Contestado;2022-03-23;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;No pudo pescar teniendo autorización
2022-0301;Queja;Contestado;2022-03-23;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por no recibir del funcionario en relación con un impuesto
2022-0292;Queja;Anulada;2022-03-23;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;
2022-0293;Queja;Anulada;2022-03-23;WEB;CONSEJERIA DE LA PRESIDENCIA;VALLADOLID;
2022-0296;Queja;Contestado;2022-03-23;Servicio 012;CONSEJERIA DE EDUCACION;VALLADOLID;Queja sobre trato recibido por su hija
2022-0298;Queja;Contestado;2022-03-23;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por la necesidad de cita revia para ser atendidos, así como por no habilitar una tarde para seratendidos
2022-0294;Queja;Contestado;2022-03-23;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;El interesado se queja sobre un iforme que habla de clase confictiva
2022-0295;Queja;Contestado;2022-03-23;WEB;GERENCIA DE SERVICIOS SOCIALES;LEÓN;Documentación a presentar al expediente
2022-0299;Queja;Contestado;2022-03-23;OAMR;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;LARGAS COLAS PARA SER ATENDIDOS
2022-0287;Queja;Anulada;2022-03-22;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;VALLADOLID;El ciudadano se siente perjudicado por no cumplirse los plazos
2022-0291;Queja;Remitido Órgano;2022-03-22;ESCRITO;SERVICIO PUBLICO DE EMPLEO;SALAMANCA;NO LE HAN ATENDIDO EN ECYL CIUDAD RODRIGO
2022-0289;Queja;Contestado;2022-03-22;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Queja en relación al programa ioEmpresas
2022-0290;Queja;Remitido Órgano;2022-03-22;OAMR;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;PALENCIA;Instalacion de caseta apeadero
2022-0288;Queja;Contestado;2022-03-22;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por  el excesivo tiempo para tramitar solicitud autoconsumo por placas, muchas trabas y no esta de acuerdo del funcionamiento de esta energia
2022-0284;Queja;Contestado;2022-03-21;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;ZAMORA;NO HE RECIBIDO EL DINERO POR HABER SIDO PRESIDENTE DE MESA ELECTORAL
2022-0285;Queja;Contestado;2022-03-21;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;SOLICITUD PRESTAMO LIBRO
2022-0286;Sugerencia Interna;Contestado;2022-03-21;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Sugiere habilitar aparcamiento en la C/ José Cantalapiedra para bicis dentro zona de vallado
2022-0278;Queja;Contestado;2022-03-18;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;Desacuerdo con hacer cola en exterior de edificios publico por covid
2022-0280;Queja;Contestado;2022-03-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;Gestiones presenciales
2022-0283;Queja;Inadmitida;2022-03-18;ESCRITO;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SALAMANCA;aclarado teléfonicamente con el reclamante, el órgano al que se dirige la queja es el SEPE. No desea facilitar su e-mail, por lo que es informado verbalmente de que será inadmitida su queja.
2022-0279;Queja;Contestado;2022-03-18;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Formulario y tasas internet
2022-0281;Queja;Contestado;2022-03-18;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SORIA;Actitud de la persona encargada Museo de Tiermes
2022-0282;Queja;Contestado;2022-03-18;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;FALTA DE COBERTURA TELEFÓNICA AYTO. DE OENCIA (LEÓN).
2022-0273;Queja;Contestado;2022-03-17;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;MAL ESTADO CL-501 RAMACASTAÑAS-CANDELEDA.
2022-0275;Queja;Contestado;2022-03-17;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;SANCION PRESTAMO LIBROS
2022-0277;Queja;Contestado;2022-03-17;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;DESACUERDO POR NO PODER LLEVAR REVISTAS A CASA
2022-0270;Queja;Anulada;2022-03-17;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;POR SER IGUAL A LA
2022-0271;Queja;Contestado;2022-03-17;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SERVICIOS CENTRALES;Problema de funcionamiento en la tramitación de las ayudas de EREs.
2022-0276;Queja;Contestado;2022-03-17;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;El interesado se queja del trato recibido en la sala de Infantil
2022-0272;Queja;Contestado;2022-03-17;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;Descontento por trato desigual y atención deficiente
2022-0274;Queja;Contestado;2022-03-17;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q
2022-0268;Queja;Tributos;2022-03-16;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;desacuerdo con la cita previa
2022-0267;Queja;Contestado;2022-03-16;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Contenedores reciclaje Valdelafuente
2022-0269;Sugerencia Interna;Contestado;2022-03-16;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;WEB
2022-0260;Queja;Contestado;2022-03-15;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Excesivos requisitos para el envio a la Consejeria de Fomento  por sede electronica. La comunicación electrónica debería ser más  asequible.
2022-0262;Queja;Contestado;2022-03-15;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;oposiciones pnal concertado
2022-0264;Queja;Contestado;2022-03-15;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY AUXLIAR ADMINISTRATIVO
2022-0266;Sugerencia Interna;Remitido a Cons/DT;2022-03-15;ESCRITO;;SERVICIOS CENTRALES;Sugerencia ahorro de plastico y reciclaje
2022-0261;Queja;Contestado;2022-03-15;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0263;Queja;Contestado;2022-03-15;WEB;GERENCIA REGIONAL DE SALUD;LEÓN;Pésimo estado del firme en el vial que da acceso a Rehabilitación, Consultas externas y Urgencias
2022-0265;Sugerencia Interna;Contestado;2022-03-15;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Sugerencia de ahorro plásticos y reciclaje
2022-0258;Queja;Contestado;2022-03-14;OAMR;GERENCIA DE SERVICIOS SOCIALES;AVILA;RETRASO EN EL PAGO DE PRESTACIÓN
2022-0259;Queja;Contestado;2022-03-14;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;El .S.T. Cultura de León manifiesta ser competencia de la Consejería
2022-0251;Queja;Anulada;2022-03-11;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;
2022-0252;Queja;Contestado;2022-03-11;OAMR;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;trato inadecuado
2022-0254;Queja;Contestado;2022-03-11;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY AUXILIAR ADMINISTRATIVO
2022-0255;Queja;Contestado;2022-03-11;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY ADMINISTRATIVO
2022-0256;Queja;Remitido Órgano;2022-03-11;OAMR;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;QUEMAS AUTORIZADAS EN ZONA DE NAVALUENGA
2022-0253;Queja;Contestado;2022-03-11;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;DESACUERDO CON REQUISITOS DE AYUDAS A LA REHABILITACIÓN EDIFICATORIA Y CONSIDERACIÓN DE EXCESIVA BUROCRACIA PARA SU SOLICITUD.
2022-0257;Sugerencia;Contestado;2022-03-11;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;--
2022-0249;Queja;Contestado;2022-03-10;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;No registro documentación por falta identificación
2022-0250;Queja;Inadmitida;2022-03-10;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;LEÓN;Competencia municipal. En el caso que nos ocupa el Ayto. de Santa Colomba de Curueño. Se le comunica a la interesada mediante correo electrónico de fecha 10 de marzo de 2021
2022-0248;Queja;Contestado;2022-03-10;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;Falta pago de dietas miebros de mesa electoral
2022-0243;Queja;Contestado;2022-03-09;BUZON;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;DESACUERDO CON CITA PREVIA EN GANADERÍA
2022-0244;Queja;Contestado;2022-03-09;BUZON;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Desacuerdo con ciita previa en Ganadería
2022-0245;Queja;Contestado;2022-03-09;BUZON;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Desacuerdo con cita previa de Ganadería
2022-0246;Queja;Remitido Órgano;2022-03-09;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;ZAMORA;POZOS SIN CEGAR
2022-0247;Sugerencia;Remitido Órgano;2022-03-09;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Habilitación de plazas no ocupadas de albergues para refugiados.
2022-0242;Queja;Contestado;2022-03-09;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;QUEJA SOBRE LA OBLIGATORIEDAD DEL USO DE INTERNET EXPLORER PARA TRÁMITES TELEMÁTICOS.
2022-0233;Queja;Contestado;2022-03-08;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;Retraso pago miembros de mesas electorales
2022-0235;Queja;Contestado;2022-03-08;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;Retraso en tramitación expediente
2022-0237;Queja;Contestado;2022-03-08;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;queja   desacuerdo en la forma de gestionar el proceso de pruebas de acceso a ciclos de formación profesional
2022-0239;Queja;Contestado;2022-03-08;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY AUXILIAR ADMINISTRATIVO
2022-0241;Sugerencia;Contestado;2022-03-08;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Metam Sodio
2022-0236;Queja;Contestado;2022-03-08;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;FALTA DE REPETIDOR DE SEÑAL PARA TELEFONÍA MOVIL EN BAÑUELOS DE BUREBA (BURGOS)
2022-0238;Queja;Contestado;2022-03-08;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NOI HAY AUXILIAR ADMINISTRATIVO
2022-0240;Sugerencia;Contestado;2022-03-08;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;Pide se puede hacer trámite telematicamente
2022-0232;Queja;Anulada;2022-03-08;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;ESTA REPETIDA 2022
2022-0234;Queja;Contestado;2022-03-08;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;FALTA DE CUMPLIMIENTO DE CONDICIONES DE IGUALDAD DE ACCESO A PROMOCIÓN VPO PROM PRIVADA RESIDENCIAL EL BREZO (VALLADOLID)
2022-0224;Queja;Contestado;2022-03-07;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;Mal funcionamiento aplicación informática
2022-0226;Sugerencia;Anulada;2022-03-07;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SALAMANCA;REPETIDA 2022
2022-0229;Sugerencia;Anulada;2022-03-07;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SALAMANCA;REPETIDA 2022
2022-0230;Sugerencia;Remitido Órgano;2022-03-07;WEB;SERVICIO PUBLICO DE EMPLEO;SALAMANCA;sugiere mas vigilancia de los contratos a personas con discapacidad
2022-0225;Queja;Contestado;2022-03-07;LIBRO;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;Error en cita previa. Competencia Servicios Centrales
2022-0227;Sugerencia;Anulada;2022-03-07;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SALAMANCA;REPETIDA 2022
2022-0228;Sugerencia;Anulada;2022-03-07;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SALAMANCA;REPETIDA 2022
2022-0231;Sugerencia Interna;Remitida Órgano;2022-03-07;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;PAGO TELEMÁTICO
2022-0222;Queja;Contestado;2022-03-06;WEB;CONSEJERIA DE SANIDAD;SALAMANCA;Recibe en su domicilio correspondiencia de otra persona desconocida para él
2022-0223;Queja;Contestado;2022-03-06;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;lista de espera
2022-0217;Queja;Contestado;2022-03-04;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;FALTA DE COBERTURA DE TELEFONÍA MOVIL E INTERNET EN BAÑUELOS DE BUREBA (BURGOS)
2022-0220;Queja;Contestado;2022-03-04;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;E interesado se queja de la actuación del Centro de mando de Segovia (CPM) en relación con un búho atrpado en unos cables
2022-0218;Queja;Contestado;2022-03-04;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;No funcionamiento del portal veterinario de la unidad veterinario
2022-0219;Queja;Contestado;2022-03-04;Servicio 012;CONSEJERIA DE EMPLEO E  INDUSTRIA;SERVICIOS CENTRALES;Problema para recibir una notificación electrónica al no tener certificado digital. Considera que no está obligada a relacionarse telemáticamente con la admnistración por ser persona física.
2022-0221;Queja;Contestado;2022-03-04;OAMR;SERVICIO PUBLICO DE EMPLEO;AVILA;PODER ACCEDER A EDIFICIO PÚBLICO ANTES DE LA CITA CONCERTADA
2022-0211;Queja;Contestado;2022-03-03;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Imposibilidad contacto telefónico con S.T. Fomento
2022-0212;Queja;Contestado;2022-03-03;WEB;GERENCIA REGIONAL DE SALUD;LEÓN;Atención deficiente en Urgencias del Hospital Universitario de León
2022-0213;Queja;Contestado;2022-03-03;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA UN ADMINISTRATIVO
2022-0216;Queja;Tributos;2022-03-03;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;AVILA;
2022-0214;Queja;Contestado;2022-03-03;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO SE PUEDE REGISTRAR
2022-0215;Queja;Contestado;2022-03-03;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;OFERTA DE EMPLEO
2022-0207;Queja;Contestado;2022-03-02;WEB;CONSEJERIA DE CULTURA Y TURISMO;LEÓN;Denegación petición sala Biblioteca Pública
2022-0208;Queja;Contestado;2022-03-02;WEB;CONSEJERIA DE CULTURA Y TURISMO;LEÓN;Diálogos filosóficos en Biblioteca Pública
2022-0205;Queja;Contestado;2022-03-02;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;mal funcionamiento aplicación MOGA
2022-0206;Queja;Contestado;2022-03-02;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;No recogida documentación por falta de resolución.
2022-0209;Queja;Inadmitida;2022-03-02;WEB;CONSEJERIA DE CULTURA Y TURISMO;LEÓN;No se trata de una queja sino de una solicitud.
2022-0210;Sugerencia;Inadmitida;2022-03-02;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;AVILA;
2022-0202;Queja;Contestado;2022-03-01;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY AUXILIAR ADMINISTRATIVO
2022-0203;Queja;Contestado;2022-03-01;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY AUXILIAR ADMINISTRATIVO
2022-0204;Queja;Contestado;2022-03-01;LIBRO;SERVICIO PUBLICO DE EMPLEO;PALENCIA;NEGATIVA DE UNA TRABAJADORA AL USO OBLIGATORIO DE MASCARILLA
2022-0200;Queja;Contestado;2022-03-01;WEB;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Modificacion mapa turístico
2022-0201;Queja;Contestado;2022-03-01;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;No registro de forma  presencial por tratarse de empleado público
